Bagneux,48.7983,2.3137,France,FR,Île-de-France,,43699,43699
Puteaux,48.8850,2.2389,France,FR,Île-de-France,,43672,43672
Caluire-et-Cuire,45.7953,4.8472,France,FR,Auvergne-Rhône-Alpes,,43572,43572
Bron,45.7386,4.9131,France,FR,Auvergne-Rhône-Alpes,,43049,43049
Rezé,47.1917,-1.5694,France,FR,Pays de la Loire,,42998,42998
Valenciennes,50.3581,3.5233,France,FR,Hauts-de-France,minor,42991,42991
Châteauroux,46.8103,1.6911,France,FR,Centre-Val de Loire,minor,42968,42968
Garges-lès-Gonesse,48.9728,2.4008,France,FR,Île-de-France,,42841,42841
Arras,50.2920,2.7800,France,FR,Hauts-de-France,minor,42600,42600
Melun,48.5406,2.6600,France,FR,Île-de-France,minor,42367,42367
Le Cannet,43.5769,7.0194,France,FR,Provence-Alpes-Côte d’Azur,,41597,41597
Bourg-en-Bresse,46.2056,5.2289,France,FR,Auvergne-Rhône-Alpes,minor,41525,41525
Anglet,43.4850,-1.5183,France,FR,Nouvelle-Aquitaine,,41153,41153
Angoulême,45.6500,0.1600,France,FR,Nouvelle-Aquitaine,minor,41086,41086
Boulogne-sur-Mer,50.7264,1.6147,France,FR,Hauts-de-France,minor,40910,40910
Wattrelos,50.7000,3.2170,France,FR,Hauts-de-France,,40836,40836
Villenave-d’Ornon,44.7806,-0.5658,France,FR,Nouvelle-Aquitaine,,40500,40500
Stains,48.9500,2.3833,France,FR,Île-de-France,,40359,40359
Gagny,48.8833,2.5333,France,FR,Île-de-France,,40189,40189
Colomiers,43.6139,1.3367,France,FR,Occitanie,,40159,40159
Poissy,48.9294,2.0456,France,FR,Île-de-France,,40016,40016
Douai,50.3714,3.0800,France,FR,Hauts-de-France,minor,39648,39648
Bagnolet,48.8692,2.4181,France,FR,Île-de-France,,39366,39366
Marcq-en-Baroeul,50.6711,3.0972,France,FR,Hauts-de-France,,39356,39356
Villepinte,48.9550,2.5410,France,FR,Île-de-France,,38725,38725
Saint-Martin-d’Hères,45.1672,5.7653,France,FR,Auvergne-Rhône-Alpes,,38454,38454
Chartres,48.4560,1.4840,France,FR,Centre-Val de Loire,minor,38447,38447
Annemasse,46.1958,6.2364,France,FR,Auvergne-Rhône-Alpes,,37918,37918
Neuilly-sur-Marne,48.8537,2.5490,France,FR,Île-de-France,,37531,37531
Franconville,48.9889,2.2314,France,FR,Île-de-France,,37520,37520
Savigny-sur-Orge,48.6797,2.3457,France,FR,Île-de-France,,37371,37371
Thonon-les-Bains,46.3627,6.4750,France,FR,Auvergne-Rhône-Alpes,minor,37027,37027
Échirolles,45.1436,5.7183,France,FR,Auvergne-Rhône-Alpes,,36849,36849
Châtillon,48.8000,2.2900,France,FR,Île-de-France,,36777,36777
Athis-Mons,48.7074,2.3889,France,FR,Île-de-France,,36222,36222
Creil,49.2583,2.4833,France,FR,Hauts-de-France,,36106,36106
Conflans-Sainte-Honorine,48.9992,2.0983,France,FR,Île-de-France,,35926,35926
Villefranche-sur-Saône,45.9833,4.7167,France,FR,Auvergne-Rhône-Alpes,minor,35913,35913
Meyzieu,45.7667,5.0036,France,FR,Auvergne-Rhône-Alpes,,35882,35882
Sainte-Geneviève-des-Bois,48.6369,2.3403,France,FR,Île-de-France,,35846,35846
Villeneuve-Saint-Georges,48.7325,2.4497,France,FR,Île-de-France,,35492,35492
Châtenay-Malabry,48.7653,2.2781,France,FR,Île-de-France,,34898,34898
Palaiseau,48.7145,2.2457,France,FR,Île-de-France,minor,34893,34893
Roanne,46.0367,4.0689,France,FR,Auvergne-Rhône-Alpes,minor,34762,34762
Le Perreux-Sur-Marne,48.8422,2.5036,France,FR,Île-de-France,,34213,34213
Schiltigheim,48.6078,7.7500,France,FR,Grand Est,,34129,34129
Les Mureaux,48.9875,1.9172,France,FR,Île-de-France,,33977,33977
Trappes,48.7775,2.0025,France,FR,Île-de-France,,33717,33717
Nogent-sur-Marne,48.8375,2.4833,France,FR,Île-de-France,minor,33472,33472
Houilles,48.9261,2.1892,France,FR,Île-de-France,,33449,33449
Montluçon,46.3408,2.6033,France,FR,Auvergne-Rhône-Alpes,minor,33342,33342
Romainville,48.8840,2.4350,France,FR,Île-de-France,,33266,33266
Nevers,46.9933,3.1572,France,FR,Bourgogne-Franche-Comté,minor,32830,32830
Lens,50.4322,2.8333,France,FR,Hauts-de-France,minor,32618,32618
Agen,44.2049,0.6212,France,FR,Nouvelle-Aquitaine,minor,32485,32485
Pierrefitte-sur-Seine,48.9656,2.3614,France,FR,Île-de-France,,32379,32379
Bezons,48.9261,2.2178,France,FR,Île-de-France,,32017,32017
Aix-les-Bains,45.6886,5.9150,France,FR,Auvergne-Rhône-Alpes,,31874,31874
Montigny-le-Bretonneux,48.7711,2.0333,France,FR,Île-de-France,,31777,31777
Cambrai,50.1767,3.2356,France,FR,Hauts-de-France,minor,31425,31425
L’Haÿ-les-Roses,48.7800,2.3374,France,FR,Île-de-France,minor,31392,31392
Plaisir,48.8183,1.9472,France,FR,Île-de-France,,31375,31375
Pontoise,49.0516,2.1017,France,FR,Île-de-France,,31327,31327
Rillieux-la-Pape,45.8214,4.8983,France,FR,Auvergne-Rhône-Alpes,,31247,31247
Thiais,48.7650,2.3923,France,FR,Île-de-France,,31097,31097
Vigneux-sur-Seine,48.7001,2.4170,France,FR,Île-de-France,,31050,31050
Viry-Châtillon,48.6713,2.3750,France,FR,Île-de-France,,31045,31045
Saint-Laurent-du-Var,43.6680,7.1880,France,FR,Provence-Alpes-Côte d’Azur,,30941,30941
Bègles,44.8086,-0.5478,France,FR,Nouvelle-Aquitaine,,30813,30813
Goussainville,49.0325,2.4747,France,FR,Île-de-France,,30693,30693
Villiers-sur-Marne,48.8275,2.5447,France,FR,Île-de-France,,30669,30669
Cachan,48.7919,2.3319,France,FR,Île-de-France,,30592,30592
Savigny-le-Temple,48.5841,2.5832,France,FR,Île-de-France,,30510,30510
Menton,43.7750,7.5000,France,FR,Provence-Alpes-Côte d’Azur,,30412,30412
Villemomble,48.8833,2.5000,France,FR,Île-de-France,,30332,30332
Malakoff,48.8172,2.2992,France,FR,Île-de-France,,30292,30292
Liévin,50.4228,2.7786,France,FR,Hauts-de-France,,30149,30149
La Garenne-Colombes,48.9056,2.2445,France,FR,Île-de-France,,29932,29932
Ris-Orangis,48.6537,2.4161,France,FR,Île-de-France,,29825,29825
Bois-Colombes,48.9175,2.2683,France,FR,Île-de-France,,29765,29765
Clichy-sous-Bois,48.9102,2.5532,France,FR,Île-de-France,,29735,29735
Décines-Charpieu,45.7694,4.9594,France,FR,Auvergne-Rhône-Alpes,,29731,29731
Saint-Cloud,48.8400,2.2200,France,FR,Île-de-France,,29727,29727
Chatou,48.8897,2.1573,France,FR,Île-de-France,,29649,29649
Vandœuvre-lès-Nancy,48.6567,6.1683,France,FR,Grand Est,,29537,29537
Périgueux,45.1929,0.7217,France,FR,Nouvelle-Aquitaine,minor,29516,29516
Charenton-le-Pont,48.8265,2.4050,France,FR,Île-de-France,,29445,29445
Tournefeuille,43.5853,1.3442,France,FR,Occitanie,,29439,29439
Guyancourt,48.7714,2.0739,France,FR,Île-de-France,,29406,29406
Le Plessis-Robinson,48.7811,2.2633,France,FR,Île-de-France,,29228,29228
Draveil,48.6852,2.4080,France,FR,Île-de-France,,29173,29173
Maubeuge,50.2775,3.9734,France,FR,Hauts-de-France,,29066,29066
Ermont,48.9922,2.2603,France,FR,Île-de-France,,28987,28987
Sotteville-lès-Rouen,49.4092,1.0900,France,FR,Normandie,,28965,28965
Villiers-le-Bel,49.0094,2.3911,France,FR,Île-de-France,,28836,28836
Fresnes,48.7550,2.3221,France,FR,Île-de-France,,28780,28780
Soissons,49.3817,3.3236,France,FR,Hauts-de-France,minor,28705,28705
Yerres,48.7171,2.4881,France,FR,Île-de-France,,28699,28699
Saint-Étienne-du-Rouvray,49.3786,1.1050,France,FR,Normandie,,28508,28508
Dieppe,49.9250,1.0750,France,FR,Normandie,minor,28358,28358
Saint-Sébastien-sur-Loire,47.2081,-1.5014,France,FR,Pays de la Loire,,28283,28283
Vallauris,43.5805,7.0538,France,FR,Provence-Alpes-Côte d’Azur,,28025,28025
Vanves,48.8208,2.2897,France,FR,Île-de-France,,28014,28014
Lomme,50.6358,3.0142,France,FR,Hauts-de-France,,28006,28006
Limeil-Brévannes,48.7464,2.4883,France,FR,Île-de-France,,27999,27999
Montfermeil,48.9000,2.5667,France,FR,Île-de-France,,27980,27980
Le Chesnay,48.8211,2.1311,France,FR,Île-de-France,,27683,27683
Sucy-en-Brie,48.7697,2.5228,France,FR,Île-de-France,,27622,27622
Grigny,48.6562,2.3849,France,FR,Île-de-France,,27257,27257
Lambersart,50.6500,3.0250,France,FR,Hauts-de-France,,27121,27121
Brétigny-sur-Orge,48.6114,2.3059,France,FR,Île-de-France,,27106,27106
Taverny,49.0264,2.2275,France,FR,Île-de-France,,27025,27025
Oullins,45.7142,4.8075,France,FR,Auvergne-Rhône-Alpes,,26994,26994
Villeparisis,48.9503,2.6025,France,FR,Île-de-France,,26822,26822
Cenon,44.8578,-0.5317,France,FR,Nouvelle-Aquitaine,,26778,26778
Sannois,48.9722,2.2578,France,FR,Île-de-France,,26768,26768
Cormeilles-en-Parisis,48.9739,2.2014,France,FR,Île-de-France,,26741,26741
Bussy-Saint-Georges,48.8422,2.6983,France,FR,Île-de-France,,26571,26571
Blagnac,43.6364,1.3906,France,FR,Occitanie,,26466,26466
Élancourt,48.7847,1.9589,France,FR,Île-de-France,,26082,26082
Le Grand-Quevilly,49.4072,1.0531,France,FR,Normandie,,25975,25975
La Garde,43.1256,6.0108,France,FR,Provence-Alpes-Côte d’Azur,,25912,25912
Gradignan,44.7725,-0.6156,France,FR,Nouvelle-Aquitaine,,25835,25835
Vichy,46.1278,3.4267,France,FR,Auvergne-Rhône-Alpes,minor,25789,25789
Biarritz,43.4800,-1.5600,France,FR,Nouvelle-Aquitaine,,25764,25764
Champs-Sur-Marne,48.8529,2.6027,France,FR,Île-de-France,,25695,25695
Armentières,50.6881,2.8811,France,FR,Hauts-de-France,,25581,25581
Montbéliard,47.5100,6.8000,France,FR,Bourgogne-Franche-Comté,minor,25573,25573
Alençon,48.4306,0.0931,France,FR,Normandie,minor,25555,25555
Brunoy,48.6979,2.5044,France,FR,Île-de-France,,25423,25423
Eaubonne,48.9922,2.2806,France,FR,Île-de-France,,25373,25373
Villeneuve-la-Garenne,48.9372,2.3278,France,FR,Île-de-France,,25371,25371
Cherbourg,49.6300,-1.6200,France,FR,Normandie,minor,25370,25370
Saint-Ouen-l’Aumône,49.0447,2.1111,France,FR,Île-de-France,,25023,25023
Béthune,50.5303,2.6408,France,FR,Hauts-de-France,minor,24992,24992
Castelnau-le-Lez,43.6369,3.9019,France,FR,Occitanie,,24888,24888
Fontenay-aux-Roses,48.7893,2.2888,France,FR,Île-de-France,,24772,24772
Orly,48.7439,2.3928,France,FR,Île-de-France,,24482,24482
Le Kremlin-Bicêtre,48.8100,2.3581,France,FR,Île-de-France,,24380,24380
Eysines,44.8853,-0.6500,France,FR,Nouvelle-Aquitaine,,24374,24374
Le Bouscat,44.8651,-0.5996,France,FR,Nouvelle-Aquitaine,,24339,24339
Rodez,44.3506,2.5750,France,FR,Occitanie,minor,24207,24207
Les Pavillons-sous-Bois,48.9000,2.5000,France,FR,Île-de-France,,24165,24165
La Valette-du-Var,43.1383,5.9831,France,FR,Provence-Alpes-Côte d’Azur,,23955,23955
Montgeron,48.7039,2.4605,France,FR,Île-de-France,,23800,23800
Les Lilas,48.8800,2.4200,France,FR,Île-de-France,,23469,23469
Lormont,44.8792,-0.5217,France,FR,Nouvelle-Aquitaine,,23291,23291
Maisons-Laffitte,48.9469,2.1456,France,FR,Île-de-France,,23080,23080
Roissy-en-Brie,48.7906,2.6519,France,FR,Île-de-France,,23061,23061
Loos,50.6128,3.0144,France,FR,Hauts-de-France,,23013,23013
Fontaine,45.1939,5.6856,France,FR,Auvergne-Rhône-Alpes,,22891,22891
Dammarie-lè-Lys,48.5177,2.6402,France,FR,Île-de-France,,22845,22845
Vélizy-Villacoublay,48.7834,2.1834,France,FR,Île-de-France,,22713,22713
Tassin-la-Demi-Lune,45.7640,4.7800,France,FR,Auvergne-Rhône-Alpes,,22676,22676
Sèvres,48.8239,2.2117,France,FR,Île-de-France,,22618,22618
Montigny-lès-Cormeilles,48.9944,2.1958,France,FR,Île-de-France,,22603,22603
Deuil-la-Barre,48.9767,2.3272,France,FR,Île-de-France,,22510,22510
La Madeleine,50.6558,3.0710,France,FR,Hauts-de-France,,22488,22488
Torcy,48.8502,2.6508,France,FR,Île-de-France,minor,22444,22444
Montereau-faut-Yonne,48.3853,2.9508,France,FR,Île-de-France,,22259,22259
Combs-la-Ville,48.6700,2.5600,France,FR,Île-de-France,,22240,22240
Hérouville-Saint-Clair,49.2044,-0.3253,France,FR,Normandie,,22227,22227
Montmorency,48.9906,2.3228,France,FR,Île-de-France,,21870,21870
Sainte-Foy-lès-Lyon,45.7336,4.8025,France,FR,Auvergne-Rhône-Alpes,,21858,21858
Montigny-lès-Metz,49.1006,6.1539,France,FR,Grand Est,,21854,21854
Le Petit-Quevilly,49.4311,1.0539,France,FR,Normandie,,21782,21782
Saint-Jean-de-Braye,47.9128,1.9719,France,FR,Centre-Val de Loire,,21700,21700
Arcueil,48.8075,2.3361,France,FR,Île-de-France,,21557,21557
Mons-en-Baroeul,50.6369,3.1103,France,FR,Hauts-de-France,,21467,21467
